objectid,x,filename,coordinate pair,latitude,longitude,date,OBJ,title,subject,creator,Corporate_Names~Roles,description,Index_Date,Date_Issued,Date_Captured,Other_Date~Display_Label,creator,Place_Of_Publication,Public_Notes~Types,Notes~Display_Label,Dates_as_Notes~Display_Label,Citations,Table_of_Contents,LCSH_Subjects,Subjects_Names~Types,Subjects_Geographic,Subjects_Temporal,Keywords,Coordinate,source,type,Genre~AuthorityURI,Extent,Form~AuthorityURI,format,Digital_Origin,Classifications~Authorities,language,identifier,Handle,Physical_Location,Shelf_Locator,rights,Import_Source,Primary_Sort,Hidden_Creator,Pull_Quotes,Private_Notes~Types
grinnell:13277,grinnell:13277.jpeg,grinnell-13277.jpeg,"41.978631, -91.662484",41.978631,-91.662484,1913,https://digital.grinnell.edu/islandora/object/grinnell:13277,"Club room, Y.W.C.A., Cedar Rapids, Iowa","Linn County (Iowa); Cedar Rapids (Iowa); Youth organizations; Y.W.C.A.; YWCA; Young Women's Christian associations; Interiors; Waypoint Services for Women, Children and Families",,,"Interior of Y.W.C.A. Club Room with piano on the right and fireplace in the center.  The YWCA chapter was formed from the Bohemian Young Women's Union in 1894 and chartered in 1906. The building shown was constructed in 1911. The YWCA was focused on Bible study, crafts, self-improvement, physical fitness, socials, and community outreach projects. The building is located at 318 5th Street SE, Cedar Rapids, Linn County, Iowa. The name was changed to Waypoint in 2001.",1913,,,1911-1915 ~ Date Issued,,,Purchase or donation ~ provenance history | Scanned with HP Scanjet 4670 at 600 ppi. Archival master image available in tiff format. ~ reproduction | Waypoint (https://www.waypointservices.org/) ~ citation/reference,,,,,"Linn County (Iowa) | Cedar Rapids (Iowa) | Youth organizations | Y.W.C.A. | YWCA | Young Women's Christian associations | Interiors | Waypoint Services for Women, Children and Families",,,,,"41.978631, -91.662484",Iowa Historical Postcard Collection (IHPC) ~ host,still image,postcard,,,image/jpeg,,"MS 108, Box 1, ihpc_cedarm0052 ~ local",en,ihpc_cedarm0052,http://hdl.handle.net/11084/13277,,,"Grinnell College Libraries does not own the copyright in these images and therefore cannot give or deny permission to publish or distribute any of them.   It is the researcher's responsibility to determine and satisfy copyright or other use restrictions when publishing or distributing material from this collection. Any materials used must carry a credit line:  Historic Iowa Postcard Collection, Special Collections and Archives, Grinnell College Libraries.",,99,,,
grinnell:13278,grinnell:13278.jpeg,grinnell-13278.jpeg,"42.515650, -92.459107",42.51565,-92.459107,1940,https://digital.grinnell.edu/islandora/object/grinnell:13278,"Women's swimming pool and gymnasium, Iowa State Teachers College, Cedar Falls, Iowa",Black Hawk County (Iowa); Cedar Falls (Iowa); Universities & colleges; Educational facilities; Sports & recreation facilities; Swimming pools; Iowa State Teachers College; University of Northern Iowa,,,"Looking northeast at the swimming pool and East Gymnasium.  East Gymnasium was completed in 1905 at a cost of $100,000. The swimming pool addition was completed in 1938 at a cost of $109,000. It was claimed that this was the first college pool west of the Mississippi. The Gymnasium served the campus as the sole physical education building until the West Gymnasium opened in 1925. The gymnasium was later renovated in 2006 to house the Innovative Teaching and Technology Center. Number 0B-H1951.",1940,,,,,,"Purchase or donation ~ provenance history | Scanned with HP Scanjet 4670 at 600 ppi. Archival master image available in tiff format. ~ reproduction | University of Northern Iowa, Rod Library, Special Collections & University Archives (https://library.uni.edu/collections/special-collections/) ~ citation/reference",,,,,Black Hawk County (Iowa) | Cedar Falls (Iowa) | Universities & colleges | Educational facilities | Sports & recreation facilities | Swimming pools | Iowa State Teachers College | University of Northern Iowa,,,,,"42.515650, -92.459107",Iowa Historical Postcard Collection (IHPC) ~ host | Grinnell College. Special Collections and Archives ~ host | Digital Grinnell ~ host,still image,postcard,,,image/jpeg,,"MS 108, Box 1, ihpc_cedarg0017 ~ local",en,ihpc_cedarg0017,http://hdl.handle.net/11084/13278,,,"Grinnell College Libraries does not own the copyright in these images and therefore cannot give or deny permission to publish or distribute any of them.   It is the researcher's responsibility to determine and satisfy copyright or other use restrictions when publishing or distributing material from this collection. Any materials used must carry a credit line:  Historic Iowa Postcard Collection, Special Collections and Archives, Grinnell College Libraries.",,99,,,
grinnell:13279,grinnell:13279.jpeg,grinnell-13279.jpeg,"42.515449, -92.458216",42.515449,-92.458216,1907,https://digital.grinnell.edu/islandora/object/grinnell:13279,"Iowa State Normal School, Cedar Falls, Iowa",Black Hawk County (Iowa); Cedar Falls (Iowa); Universities & colleges; Educational facilities; Sports & recreation facilities; Gymnasiums; Iowa State Normal School; University of Northern Iowa,"Pearson-Ullberg Co. (Minneapolis, Minn.)",,"Split postcard looking northeast at the Gymnasium (East Gym) completed in 1905 at a cost of $100,000, and looking east at the Administration Building completed in 1896 at a cost of $35,000, and the Auditorium Building (Lang Hall) completed in 1901 at a cost of $120,000.  1907 postmark. Number 1731.",1907,,,1907? ~ Date Issued,"Pearson-Ullberg Co. (Minneapolis, Minn.)",,"Purchase or donation ~ provenance history | Scanned with HP Scanjet 4670 at 600 ppi. Archival master image available in tiff format. ~ reproduction | University of Northern Iowa, Rod Library, Special Collections & University Archives (https://library.uni.edu/collections/special-collections/) ~ citation/reference",,,,,Black Hawk County (Iowa) | Cedar Falls (Iowa) | Universities & colleges | Educational facilities | Sports & recreation facilities | Gymnasiums | Iowa State Normal School | University of Northern Iowa,,,,,"42.515449, -92.458216",Iowa Historical Postcard Collection (IHPC) ~ host,still image,postcard,,,image/jpeg,,"MS 108, Box 1, ihpc_cedarg0010 ~ local",,ihpc_cedarg0010,http://hdl.handle.net/11084/13279,,,"Grinnell College Libraries does not own the copyright in these images and therefore cannot give or deny permission to publish or distribute any of them.   It is the researcher's responsibility to determine and satisfy copyright or other use restrictions when publishing or distributing material from this collection. Any materials used must carry a credit line:  Historic Iowa Postcard Collection, Special Collections and Archives, Grinnell College Libraries.",,99,,,
grinnell:13280,grinnell:13280.jpeg,grinnell-13280.jpeg,"42.515846, -92.457463",42.515846,-92.457463,1937,https://digital.grinnell.edu/islandora/object/grinnell:13280,"I.S.T.C., Cedar Rapids, Iowa",Cedar Falls (Iowa); Universities & colleges; Educational facilities; Dormitories; Iowa State Teachers College; State College of Iowa; University of Northern Iowa; Black Hawk County (Iowa); Lang Hall,"Curteich & Co. Inc. (Chicago, Ill.)",,"Looking south at the Auditorium Building (Lang Hall), the oldest surviving classroom building on the UNI campus. The building was completed by December 1901 at a cost of $120,000. In 1994, the building was named for William C. Lang (a member of the UNI faculty from 1949-1978), professor of history, Dean of the College, Dean of Instruction and Vice President for Academic Affairs. The building is located on Wisconsin Street, Cedar Falls, Black Hawk County, Iowa. 1923 postmark.  Number A--44190.",1937,,,1935-1940 ~ Date Issued,"Curteich & Co. Inc. (Chicago, Ill.)",,"Purchase or donation ~ provenance history | Scanned with HP Scanjet 4670 at 600 ppi. Archival master image available in tiff format. ~ reproduction | University of Northern Iowa, Rod Library, Special Collections & University Archives (https://library.uni.edu/collections/special-collections/) ~ citation/reference",,,,,Cedar Falls (Iowa) | Universities & colleges | Educational facilities | Dormitories | Iowa State Teachers College | State College of Iowa | University of Northern Iowa | Black Hawk County (Iowa) | Lang Hall,,,,,"42.515846, -92.457463",Iowa Historical Postcard Collection (IHPC) ~ host,still image,postcard,,,image/jpeg,,"MS 108, Box 1, ihpc_cedarg0009 ~ local",,ihpc_cedarg0009,http://hdl.handle.net/11084/13280,,,"Grinnell College Libraries does not own the copyright in these images and therefore cannot give or deny permission to publish or distribute any of them.   It is the researcher's responsibility to determine and satisfy copyright or other use restrictions when publishing or distributing material from this collection. Any materials used must carry a credit line:  Historic Iowa Postcard Collection, Special Collections and Archives, Grinnell College Libraries.",,99,,,
grinnell:13281,grinnell:13281.jpeg,grinnell-13281.jpeg,"41.744496,-92.722765",41.744496,-92.722765,1953,https://digital.grinnell.edu/islandora/object/grinnell:13281,,Poweshiek County (Iowa); Grinnell (Iowa); Churches; Protestant churches; Methodist churches; Methodist Episcopal churches; Houses,,Grinnell College Libraries Special Collections ~ Supporting Host,Looking southwest.   The Methodist Church was begun in 1895 and completed and dedicated in 1896.  Richardsonian Romanesque in architectural styling. 1953 postmark. Number L-160.,1953,,,1953? ~ Date Issued,,,Scanned with HP Scanjet 4670 at 600 ppi. Archival master image available in tiff format. ~ reproduction info,,,,,Poweshiek County (Iowa) | Grinnell (Iowa) | Churches | Protestant churches | Methodist churches | Methodist Episcopal churches | Houses,,,,,"41.744496,-92.722765",Iowa Historical Postcard Collection (IHPC) ~ host,still image,Postcards,,,image/jpeg,,,,ihpc_grinne0177,http://hdl.handle.net/11084/13281,,,"Grinnell College Libraries does not own the copyright in these images and therefore cannot give or deny permission to publish or distribute any of them.   It is the researcher's responsibility to determine and satisfy copyright or other use restrictions when publishing or distributing material from this collection. Any materials used must carry a credit line:  Historic Iowa Postcard Collection, Special Collections and Archives, Grinnell College Libraries.",,99,,,
grinnell:13283,grinnell:13283.jpeg,grinnell-13283.jpeg,"41.743798,-92.724138",41.743798,-92.724138,1909,https://digital.grinnell.edu/islandora/object/grinnell:13283,,Poweshiek County (Iowa); Grinnell (Iowa); Commercial streets; Commercial facilities; Churches; Bicycles & tricycles,,Grinnell College Libraries Special Collections ~ Supporting Host,Looking south on Broad Street with the Old Stone Church on left.  1909 postmark.,1909,,,1909? ~ Date Issued,,,Scanned with HP Scanjet 4670 at 600 ppi. Archival master image available in tiff format. ~ reproduction info,,,,,Poweshiek County (Iowa) | Grinnell (Iowa) | Commercial streets | Commercial facilities | Churches | Bicycles & tricycles,,,,,"41.743798,-92.724138",Iowa Historical Postcard Collection (IHPC) ~ host,still image,Postcards,,,image/jpeg,,,,ihpc_grinne0192,http://hdl.handle.net/11084/13283,,,"Grinnell College Libraries does not own the copyright in these images and therefore cannot give or deny permission to publish or distribute any of them.   It is the researcher's responsibility to determine and satisfy copyright or other use restrictions when publishing or distributing material from this collection. Any materials used must carry a credit line:  Historic Iowa Postcard Collection, Special Collections and Archives, Grinnell College Libraries.",,99,,,
grinnell:13290,grinnell:13290.jpeg,grinnell-13290.jpeg,"41.455493, -90.722167",41.455493,-90.722167,1909,https://digital.grinnell.edu/islandora/object/grinnell:13290,"Greetings from Buffalo, Iowa","Scott County (Iowa); Buffalo (Iowa); Greeting cards; Educational facilities; Government facilities; Railroads, Chicago, Rock Island & Pacific; Montages",KARBO,,"Montage of eight Buffalo landmarks:  Looking northwest on Front Street. Looking north at Buffalo High School located at 326 Fourth Street, Buffalo, Scott County, Iowa. Looking southeast at Buffalo Tile Works.  Looking north at St. Peter Catholic Church located at 406 Fourth Street, Buffalo, Scott County, Iowa. Buffalo Town Hall. Looking north at Dohrman's General Store owned by Henry Dohrman. Looking northeast at the Buffalo Post Office located at 326 Front Street, Buffalo, Scott County, Iowa. Looking east at the Buffalo Depot built around 1882 and the Chicago, Rock Island & Pacific Railway. 1909 postmark.",1909,,,1909? ~ Date Issued,KARBO,,"Purchase or donation ~ provenance history | Scanned with HP Scanjet 4670 at 600 ppi. Archival master image available in tiff format. ~ reproduction | Lost Schools: A Register Special Report on School District Consolidation in Iowa (http://data.desmoinesregister.com/lost-schools/) ~ citation/reference | Scott County, Iowa USGenWeb Project, ""History of the Township and Village of Buffalo"", History of Scott County, Iowa, 1882, Chicago: Interstate Publishing Co.  (http://www.celticcousins.net/) ~ citation/reference",,,,,"Scott County (Iowa) | Buffalo (Iowa) | Greeting cards | Educational facilities | Government facilities | Railroads, Chicago, Rock Island & Pacific | Montages",,,,,"41.455493, -90.722167",Iowa Historical Postcard Collection (IHPC) ~ host,still image,postcard,,,image/jpeg,,"MS 108, Box 1, ihpc_buffala0001 ~ local",,ihpc_buffala0001,http://hdl.handle.net/11084/13290,,,"Grinnell College Libraries does not own the copyright in these images and therefore cannot give or deny permission to publish or distribute any of them.   It is the researcher's responsibility to determine and satisfy copyright or other use restrictions when publishing or distributing material from this collection. Any materials used must carry a credit line:  Historic Iowa Postcard Collection, Special Collections and Archives, Grinnell College Libraries.",,99,,,
grinnell:13294,grinnell:13294.jpeg,grinnell-13294.jpeg,"42.115066, -91.350645",42.115066,-91.350645,1920,https://digital.grinnell.edu/islandora/object/grinnell:13294,"Iowa State Quarry, Anamosa, Iowa",Jones County (Iowa); Anamosa (Iowa); Excavation; Quarrying; Mining; Iowa State Reformatory (Iowa),,,"Several laborers working the Anamosa Quarry.  The quarry was opened in 1866 and was Anamosa penitentiary personnel quarried stone to be used in buildings, walls and terraces. Listed in the National Register for Historic Places.  Number 40852.",1920,,,1900-1920 ~ Date Issued,,,,,,,,Jones County (Iowa) | Anamosa (Iowa) | Excavation | Quarrying | Mining | Iowa State Reformatory (Iowa),,,,"12791 Stone City Road, Anamosa, Jones County, Iowa","42.115066, -91.350645",Iowa Historical Postcard Collection (IHPC) ~ host | Grinnell College. Special Collections and Archives ~ host | Digital Grinnell ~ host,still image,postcard,1 postcard : color ; 9 x 14 cm.,"Lithochrome print, divided back.",image/jpeg,,"MS 108, Box 1, ihpc_anamos0004 ~ local",,ihpc_anamos0004,http://hdl.handle.net/11084/13294,,,"Grinnell College Libraries does not own the copyright in these images and therefore cannot give or deny permission to publish or distribute any of them.   It is the researcher's responsibility to determine and satisfy copyright or other use restrictions when publishing or distributing material from this collection. Any materials used must carry a credit line:  Historic Iowa Postcard Collection, Special Collections and Archives, Grinnell College Libraries.",,99,,,
grinnell:13295,grinnell:13295.jpeg,grinnell-13295.jpeg,"42.513970, -92.457388",42.51397,-92.457388,1912,https://digital.grinnell.edu/islandora/object/grinnell:13295,"I.S.T.C. the Library, Cedar Falls, Iowa",Black Hawk County (Iowa); Cedar Falls (Iowa); Cultural facilities; Iowa State Teachers College; State College of Iowa; University of Northern Iowa,,,"Looking southwest at the building now known as Seerley Hall (named after Homer H. Seerley, 2nd president of UNI from 1886-1928) served as the library of the Iowa State Teachers College from 1911-1964 costing around $175,000. The building is located on Wisconsin Street, Cedar Falls, Black Hawk County, Iowa. 1912 postmark. Number 13801.",1912,,,1912? ~ Date Issued,,,"Purchase or donation ~ provenance history | Scanned with HP Scanjet 4670 at 600 ppi. Archival master image available in tiff format. ~ reproduction | University of Northern Iowa, Rod Library, Special Collections & University Archives (https://library.uni.edu/collections/special-collections/) ~ citation/reference",,,,,Black Hawk County (Iowa) | Cedar Falls (Iowa) | Cultural facilities | Iowa State Teachers College | State College of Iowa | University of Northern Iowa,,,,,"42.513970, -92.457388",Iowa Historical Postcard Collection (IHPC) ~ host,still image,postcard,,,image/jpeg,,"MS 108, Box 1, ihpc_cedarg0008 ~ local",,ihpc_cedarg0008,http://hdl.handle.net/11084/13295,,,"Grinnell College Libraries does not own the copyright in these images and therefore cannot give or deny permission to publish or distribute any of them.   It is the researcher's responsibility to determine and satisfy copyright or other use restrictions when publishing or distributing material from this collection. Any materials used must carry a credit line:  Historic Iowa Postcard Collection, Special Collections and Archives, Grinnell College Libraries.",,99,,,
grinnell:13296,grinnell:13296.jpeg,grinnell-13296.jpeg,"42.514658, -92.456938",42.514658,-92.456938,1909,https://digital.grinnell.edu/islandora/object/grinnell:13296,"State Normal School, Cedar Falls, Iowa",Black Hawk County (Iowa); Cedar Falls (Iowa); Universities & colleges; Educational facilities; Lecture halls; Iowa State Normal School; Iowa State Teachers College; University of Northern Iowa,,,"Looking west at the old Administration Building completed in 1896 at a cost of $35,000, and the Auditorium Building (Lang Hall) completed in 1901 at a cost of $120,000. 1909 postmark. Number 6085.",1909,,,1909? ~ Date Issued,,,"Purchase or donation ~ provenance history | Scanned with HP Scanjet 4670 at 600 ppi. Archival master image available in tiff format. ~ reproduction | University of Northern Iowa, Rod Library, Special Collections & University Archives (https://library.uni.edu/collections/special-collections/) ~ citation/reference | Made in Germany. ~ creation/production credits",,,,,Black Hawk County (Iowa) | Cedar Falls (Iowa) | Universities & colleges | Educational facilities | Lecture halls | Iowa State Normal School | Iowa State Teachers College | University of Northern Iowa,,,,,"42.514658, -92.456938",Iowa Historical Postcard Collection (IHPC) ~ host,still image,postcard,,,image/jpeg,,"MS 108, Box 1, ihpc_cedarg0015 ~ local",,ihpc_cedarg0015,http://hdl.handle.net/11084/13296,,,"Grinnell College Libraries does not own the copyright in these images and therefore cannot give or deny permission to publish or distribute any of them.   It is the researcher's responsibility to determine and satisfy copyright or other use restrictions when publishing or distributing material from this collection. Any materials used must carry a credit line:  Historic Iowa Postcard Collection, Special Collections and Archives, Grinnell College Libraries.",,99,,,
